"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.0251,0.1178,0.1055,0.0879,0.163,0.075,0.2211,0.0797,0.0475,0.0023
"2",0.0621,0.1486,0.2092,0.1243,0.3248,0.179,0.3385,0.1937,0.1466,0.0094
"3",0.0544,0.1412,0.19,0.1147,0.2961,0.1584,0.3192,0.1711,0.1249,0.0076
"4",0.1003,0.1904,0.2922,0.1856,0.4419,0.2733,0.4146,0.2965,0.2551,0.0203
"5",0.0409,0.1295,0.1537,0.1003,0.2401,0.121,0.2801,0.13,0.0878,0.0049
"6",0.0836,0.171,0.2579,0.1562,0.3951,0.2335,0.3845,0.2533,0.2078,0.0151
"7",0.0749,0.1616,0.239,0.1425,0.3683,0.212,0.3671,0.2299,0.1831,0.0127
"8",0.0534,0.1403,0.1874,0.1135,0.2921,0.1556,0.3165,0.1681,0.122,0.0074
"9",0.0991,0.1889,0.2898,0.1833,0.4387,0.2704,0.4125,0.2934,0.2517,0.0199
"10",0.0899,0.1782,0.2713,0.1669,0.4136,0.2488,0.3964,0.27,0.2258,0.017
"11",0.1419,0.2436,0.3663,0.2717,0.5358,0.3621,0.4751,0.392,0.3663,0.0359
"12",0.0738,0.1604,0.2365,0.1408,0.3647,0.2091,0.3647,0.2267,0.1798,0.0124
"13",0.1134,0.2064,0.3171,0.211,0.4745,0.3027,0.4355,0.3283,0.2913,0.0248
"14",0.1686,0.2807,0.4076,0.3331,0.5839,0.4128,0.5069,0.4456,0.4313,0.0482
"15",0.0507,0.1378,0.1803,0.1103,0.2812,0.1481,0.309,0.1598,0.1144,0.0068
"16",0.0957,0.1849,0.2831,0.1772,0.4297,0.2626,0.4067,0.285,0.2422,0.0188
"17",0.0867,0.1745,0.2645,0.1613,0.4043,0.241,0.3904,0.2615,0.2166,0.016
"18",0.1382,0.2386,0.3602,0.2634,0.5284,0.3547,0.4703,0.3841,0.3568,0.0344
"19",0.0707,0.1572,0.2295,0.1362,0.3546,0.2014,0.3582,0.2182,0.1711,0.0116
"20",0.1197,0.2144,0.3285,0.2238,0.4891,0.3164,0.4449,0.343,0.3083,0.0271
"21",0.11,0.2021,0.3106,0.2041,0.4662,0.295,0.4301,0.3201,0.2818,0.0235
"22",0.1647,0.2752,0.4018,0.3239,0.5773,0.4056,0.5025,0.438,0.4221,0.0463
"23",0.0855,0.1732,0.262,0.1593,0.4008,0.2382,0.3881,0.2584,0.2132,0.0156
"24",0.1368,0.2368,0.3579,0.2604,0.5257,0.352,0.4685,0.3812,0.3533,0.0338
"25",0.1266,0.2233,0.3406,0.2383,0.5044,0.331,0.4547,0.3587,0.3267,0.0297
"26",0.1087,0.2005,0.3082,0.2016,0.4631,0.2922,0.4281,0.317,0.2783,0.0231
"27",0.1633,0.2731,0.3997,0.3206,0.5748,0.403,0.5009,0.4353,0.4187,0.0456
"28",0.2128,0.345,0.4679,0.4373,0.6487,0.487,0.5515,0.5228,0.5265,0.0721
"29",0.0317,0.1224,0.1266,0.0925,0.1971,0.0946,0.2481,0.1011,0.0638,0.0033
"30",0.1022,0.1926,0.2959,0.1891,0.4468,0.2776,0.4177,0.3012,0.2604,0.0209
"31",0.0885,0.1765,0.2683,0.1644,0.4094,0.2453,0.3937,0.2662,0.2217,0.0165
"32",0.1589,0.267,0.393,0.3104,0.5673,0.3949,0.4959,0.4267,0.4083,0.0435
