,0
0,"[-0.99, 1.0, 1.0, -0.99, 0.77]"
1,"[-0.99, 1.0, 1.0, -0.99, 0.81]"
2,"[1.0, -0.97, -0.96, 0.99, 0.76]"
3,"[0.99, 0.95, 0.94, 0.95, -0.89]"
4,"[-0.99, 1.0, 1.0, -0.99, 0.87]"
5,"[1.0, -0.95, -0.91, 0.99, 0.29]"
6,"[0.99, 1.0, 1.0, 0.95, -0.96]"
7,"[0.99, 0.99, 0.99, 0.96, -0.95]"
8,"[0.96, 1.0, 1.0, 0.86, -0.93]"
9,"[1.0, -0.99, -0.98, 1.0, 0.64]"
10,"[-1.0, 1.0, 1.0, -1.0, 0.88]"
11,"[-0.99, 1.0, 1.0, -0.99, 0.82]"
12,"[1.0, -0.97, -0.93, 1.0, 0.21]"
13,"[0.93, 1.0, 1.0, 0.78, -0.84]"
14,"[1.0, -0.75, -0.55, 0.99, -0.33]"
15,"[1.0, 0.88, 0.88, 0.97, -0.83]"
16,"[-0.99, 1.0, 1.0, -0.99, 0.9]"
17,"[1.0, -0.77, -0.64, 0.99, -0.38]"
18,"[-0.99, 1.0, 1.0, -0.99, 0.89]"
19,"[-0.99, 1.0, 1.0, -0.99, 0.79]"
20,"[1.0, -0.79, -0.68, 0.99, -0.12]"
21,"[1.0, -0.99, -0.98, 0.99, 0.85]"
22,"[1.0, -0.92, -0.85, 0.99, 0.06]"
23,"[1.0, -1.0, -0.99, 1.0, 0.64]"
24,"[0.99, 0.99, 0.97, 0.91, -0.8]"
25,"[-0.99, 1.0, 1.0, -0.99, 0.86]"
26,"[1.0, -0.94, -0.93, 1.0, 0.78]"
27,"[1.0, -0.71, -0.46, 1.0, -0.65]"
28,"[-0.99, 1.0, 1.0, -0.99, 0.88]"
29,"[-0.99, 1.0, 1.0, -0.99, 0.83]"
30,"[-0.99, 1.0, 1.0, -0.99, 0.88]"
31,"[0.96, 1.0, 0.99, 0.81, -0.92]"
32,"[0.97, 0.98, 0.94, 0.78, -0.65]"
33,"[1.0, 0.93, 0.95, 0.99, -0.93]"
34,"[1.0, 0.97, 0.97, 0.98, -0.93]"
35,"[-0.99, 1.0, 1.0, -0.99, 0.79]"
36,"[1.0, -0.76, -0.62, 1.0, -0.13]"
37,"[1.0, 0.85, 0.92, 0.99, -0.92]"
38,"[-0.99, 1.0, 1.0, -0.99, 0.84]"
39,"[1.0, -0.99, -0.98, 0.99, 0.86]"
40,"[1.0, -0.93, -0.87, 0.99, 0.24]"
41,"[-0.99, 1.0, 1.0, -0.99, 0.79]"
42,"[0.99, 0.99, 0.98, 0.92, -0.85]"
43,"[-0.99, 1.0, 1.0, -0.99, 0.87]"
44,"[-0.92, 1.0, 1.0, -0.92, 0.52]"
45,"[1.0, 0.98, 0.99, 0.98, -0.97]"
46,"[0.98, 0.99, 0.98, 0.92, -0.92]"
47,"[-0.99, 1.0, 1.0, -0.99, 0.87]"
48,"[1.0, -0.74, -0.52, 0.99, -0.54]"
49,"[1.0, 0.83, 0.87, 0.99, -0.82]"
50,"[1.0, -0.72, -0.76, 0.97, 0.62]"
51,"[1.0, 0.87, 0.89, 0.97, -0.89]"
52,"[1.0, -0.97, -0.92, 1.0, 0.13]"
53,"[-0.99, 1.0, 1.0, -0.99, 0.81]"
54,"[0.99, 0.84, 0.78, 0.94, -0.78]"
55,"[1.0, -0.99, -0.98, 1.0, 0.77]"
56,"[1.0, -0.99, -0.97, 1.0, 0.36]"
57,"[-0.99, 1.0, 1.0, -0.99, 0.78]"
58,"[1.0, -0.97, -0.93, 0.99, 0.06]"
59,"[-0.99, 1.0, 1.0, -0.99, 0.8]"
60,"[-0.99, 1.0, 1.0, -0.99, 0.88]"
61,"[-0.99, 1.0, 1.0, -0.99, 0.87]"
62,"[-0.99, 1.0, 1.0, -0.99, 0.87]"
63,"[-0.99, 1.0, 1.0, -0.99, 0.84]"
64,"[-0.99, 1.0, 1.0, -0.99, 0.84]"
65,"[-0.99, 1.0, 1.0, -0.99, 0.79]"
66,"[1.0, -0.97, -0.96, 1.0, 0.76]"
67,"[-0.99, 1.0, 1.0, -0.99, 0.78]"
68,"[1.0, 0.87, 0.91, 0.99, -0.88]"
69,"[0.91, 1.0, 1.0, 0.86, -0.88]"
70,"[-0.99, 1.0, 1.0, -0.99, 0.85]"
71,"[1.0, -0.72, -0.7, 0.99, 0.4]"
72,"[-0.99, 1.0, 1.0, -0.99, 0.86]"
73,"[-0.99, 1.0, 1.0, -0.99, 0.87]"
74,"[1.0, -0.32, -0.24, 0.99, -0.2]"
75,"[-1.0, 1.0, 1.0, -1.0, 0.9]"
76,"[0.96, 1.0, 1.0, 0.92, -0.91]"
77,"[1.0, -0.99, -0.98, 1.0, 0.77]"
78,"[0.99, 0.99, 0.98, 0.95, -0.89]"
79,"[-0.99, 1.0, 1.0, -0.99, 0.8]"
80,"[-0.99, 1.0, 1.0, -0.99, 0.78]"
81,"[-0.99, 1.0, 1.0, -0.99, 0.84]"
82,"[0.99, 0.95, 0.89, 0.91, -0.67]"
83,"[-0.99, 1.0, 1.0, -0.99, 0.88]"
84,"[0.99, 0.99, 0.99, 0.95, -0.93]"
85,"[1.0, -0.92, -0.88, 0.99, 0.43]"
86,"[-0.99, 1.0, 1.0, -0.99, 0.86]"
87,"[1.0, -0.98, -0.97, 0.99, 0.8]"
88,"[-0.99, 1.0, 1.0, -0.99, 0.85]"
89,"[1.0, -0.99, -0.98, 1.0, 0.81]"
90,"[0.99, 0.97, 0.97, 0.96, -0.93]"
91,"[-0.99, 1.0, 1.0, -0.99, 0.83]"
92,"[1.0, -0.98, -0.96, 1.0, 0.62]"
93,"[-0.99, 1.0, 1.0, -0.99, 0.85]"
94,"[0.98, 1.0, 1.0, 0.91, -0.96]"
95,"[-0.99, 1.0, 1.0, -0.99, 0.84]"
96,"[1.0, -1.0, -1.0, 1.0, 0.58]"
97,"[0.99, 0.88, 0.84, 0.95, -0.8]"
98,"[-0.99, 1.0, 1.0, -0.99, 0.87]"
99,"[-0.99, 1.0, 1.0, -0.99, 0.83]"
100,"[1.0, -0.99, -0.97, 1.0, 0.25]"
101,"[1.0, -0.99, -0.98, 1.0, 0.73]"
102,"[1.0, -0.95, -0.94, 0.99, 0.74]"
103,"[0.99, 0.91, 0.9, 0.97, -0.78]"
104,"[1.0, -0.99, -0.99, 1.0, 0.67]"
105,"[1.0, 0.05, 0.17, 0.99, -0.38]"
106,"[0.99, 1.0, 0.99, 0.94, -0.94]"
107,"[1.0, -0.89, -0.81, 0.99, 0.03]"
108,"[1.0, -0.95, -0.92, 0.99, 0.63]"
109,"[0.96, 1.0, 0.99, 0.83, -0.88]"
110,"[-0.99, 1.0, 1.0, -0.99, 0.78]"
111,"[-0.99, 1.0, 1.0, -0.99, 0.85]"
112,"[1.0, -0.98, -0.96, 1.0, 0.26]"
113,"[1.0, -1.0, -0.99, 1.0, 0.62]"
114,"[1.0, 0.95, 0.96, 0.97, -0.95]"
115,"[0.99, 0.99, 0.99, 0.92, -0.87]"
116,"[0.99, 0.99, 0.99, 0.94, -0.93]"
117,"[0.99, 0.99, 0.99, 0.96, -0.96]"
