feature_vector,label,explanation
"[-1.02, -0.13, -1.23, -1.32]",0,"[('L', 4, -0.7)]"
"[-1.51, 0.33, -1.34, -1.32]",0,"[('L', 4, -0.7)]"
"[0.67, 0.33, 0.88, 1.45]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[0.31, -0.13, 0.48, 0.26]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.9, 1.71, -1.06, -1.05]",0,"[('L', 4, -0.7)]"
"[-0.29, -0.59, 0.65, 1.05]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('L', 3, 0.7), ('L', 2, 0.1)]"
"[-0.42, -1.51, -0.03, -0.26]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.05, -1.05, 0.14, 0.0]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.17, -1.05, -0.15, -0.26]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[1.52, -0.13, 1.22, 1.19]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-0.78, 2.4, -1.28, -1.45]",0,"[('L', 4, -0.7)]"
"[-1.39, 0.33, -1.4, -1.32]",0,"[('L', 4, -0.7)]"
"[0.67, -0.82, 0.88, 0.92]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[-0.29, -0.36, -0.09, 0.13]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[1.64, -0.13, 1.16, 0.53]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('L', 4, 0.6), ('R', 3, 1.0)]"
"[0.19, -0.36, 0.42, 0.4]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-0.54, 1.94, -1.4, -1.05]",0,"[('L', 4, -0.7)]"
"[-1.14, -1.28, 0.42, 0.66]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('L', 3, 0.7), ('L', 2, 0.1)]"
"[-0.05, 2.17, -1.45, -1.32]",0,"[('L', 4, -0.7)]"
"[-1.26, -0.13, -1.34, -1.18]",0,"[('L', 4, -0.7)]"
"[0.07, -0.13, 0.76, 0.79]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[1.04, 0.56, 1.1, 1.71]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[0.8, -0.13, 0.99, 0.79]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[2.13, -0.13, 1.62, 1.19]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[0.67, 0.33, 0.42, 0.4]",1,"[('R', 4, -0.7), ('L', 4, 0.5)]"
"[-1.02, 1.25, -1.34, -1.32]",0,"[('L', 4, -0.7)]"
"[1.28, 0.1, 0.76, 1.45]",2,"[('R', 4, -0.7), ('R', 4, 0.5), ('R', 4, 0.6), ('R', 3, 0.7)]"
"[0.19, -1.97, 0.71, 0.4]",2,"[('R', 4, -0.7), ('L', 4, 0.5)]"
